word,pos,definition
food,noun,The definition of food is nourishment taken into the body.
football,noun,"The definition of football is a game played on a 100-yard field with two teams of 11 players and one goal at each end, or the actual ball for such a game, or an issue that is passed around."
for,preposition,"For is defined as the purpose, destination, recipient or amount of something."
forthcoming,adjective,"The definition of forthcoming refers to something that is about to happen, or to someone who is willing to openly share information."
fortieth,adjective,"The definition of fortieth is something that occurs after 39 other things have occurred, or that occurs in the position identified by the number 40."
fought,verb,"Fought is defined as to have participated in a verbal or physical disagreement, or to have overcome something."
four,noun,Four is a number that comes after 3 and before 5.
French,adjective,The definition of French is someone or something associated with the country of France.
,noun,French is the language spoken in France.
,verb,French is defined as cutting food into thin strips or trimming all the meat and fat from the bone of a meat chop.
Friday,noun,"Friday is defined as the day before the weekend, or the sixth day of the week."
from,preposition,"From is defined as a starting point, removal or separation."
fuck,interjection,Fuck is defined as an offensive curse word used to express anger.
,verb,Fuck is an offensive curse word that is defined as to meddle with or to have sexual intercourse.
fundamentalism,noun,"Fundamentalism is defined as strict adherence to some belief or ideology, especially in a religious context, or a form of Christianity where the Bible is taken literally and obeyed in full."
furthest,adjective,The definition of furthest is something that has a greater distance or degree than others.
German,adjective,The definition of German is relating to the culture of Germany.
,noun,"The definition of a German is a person from Germany, a person who has ancestors from Germany, or any of the West Germanic languages."
get,verb,Get is defined as to receive.
give,verb,"Give is defined as to hand, present or place."
glass,adjective,"The definition of glass is something made of or like the hard substance made of silicates, soda or potash, lime and sometimes metallic oxides."
,noun,"Glass is defined as a hard substance made by heating and then quickly cooling sicilates with soda or potash or lime, or something made of this substance."
,verb,"Glass means to put food into canning jars, to reflect or to replace broken windows."
go,verb,Go is defined as to move or leave.
going,adjective,"Going is defined as something that is successful, in existence or commonly accepted."
,noun,The definition of a going is a departure or forward progress.
gone,adjective,"The definition of gone is something that has left, departed or that is no longer there."
good,adjective,"The definition of good is someone or something that is efficient, useful, healthy, strong, happy or skilled."
goodbye,interjection,Goodbye is defined as a way to express that you are leaving.
gore,noun,The definition of gore is violence and bloodshed.
,verb,To gore is defined as the action of an animal stabbing someone or another animal with a horn.
gory,adjective,The definition of gory is something covered in blood or related to bloodshed.
got,verb,Got is defined as to have received or bought something.
Greek,noun,"The definition of Greek is a person born in Greece, a person who's ancestors were from Greece or the language spoken by people from Greece."
grouse,noun,"The definition of a grouse is a complaint, or a type of game bird with a chubby body, feathers on its nose and different colored feathers."
,verb,Grouse is defined as to complain.
grow,verb,The definition of grow is to become or cause something to become larger in size or to undergo the natural process of developing.
grueling,adjective,"The definition of grueling is something exhausting, challenging or demanding."
guy,noun,The definition of a guy is a statue of Guy Fawkes that is displayed and burned on Guy Fawkes Night in England.
guy,noun,"Guy is defined as a rope, chain or cable used for to support, secure or direct something, or is an informal term for a man or boy."
gypsy,noun,The definition of a gypsy is a member of a tribe of people found throughout the world who has no permanent home or someone who shares this wandering lifestyle.
had,verb,"Had is defined as to have contained, held or owned something in the past."
Halloween,noun,"The definition of Halloween is a holiday celebrated in the U.S., Canada and the British Isles on October 31st where people dress in costumes and children go door to door asking for candy."
hand,noun,The definition of a hand is the part of the human body at the end of the arm.
hand,noun,Hand means applause.
,verb,"To hand is defined as to transfer, deliver or give."
hap,noun,The definition of a hap is something happening or that happens by chance.
happen,verb,Happen is defined as to take place or occur by chance.
harbour,noun,"The definition of a harbour is a place providing safety or shelter, or a protected area in the water for anchoring boats."
,verb,"Harbour, a British spelling for harbor, is defined as to hide, protect or hold on to."
has,verb,Has is defined as to possess or own something.
hate,noun,The definition of hate is a feeling of intense dislike or aversion.
,verb,To hate is defined as to feel strong and intense aversion or dislike.
have,verb,"Have is defined as to contain, hold or own something."
hazy,adjective,"The definition of hazy is something that is clouded over or covered by mist or haze, or something that is unclear, vague or not well-defined."
heavy,adjective,"The definition of heavy is of great weight, amount, force, quantity or size."
,noun,Heavy is defined as a somber role or the role of a villain in theatre or is slang for an influential person.
held,verb,The definition of held is the past tense of hold.
hello,interjection,"Hello is defined as a greeting or a response when on the phone, used to bring attention or an expression of surprise."
help,interjection,Help is defined as a plea or request for aid or assistance.
,noun,"The definition of help is aid that you request, or is someone who provides assistance."
,verb,"Help means to provide aid or assistance, or to improve a situation."
hemorrhage,noun,"The definition of a hemorrhage is a rapid loss of blood, usually due to a ruptured blood vessel, or a rapid loss of resources or valuable people."
,verb,"Hemorrhage is defined as to lose large amounts of blood rapidly, or to spend large sums of money rapidly or without control."
her,adjective,The definition of her is the possessive form of she.
,pronoun,Her is defined as she or a female.
heterosexual,adjective,The definition of a heterosexual is someone who is sexually attracted to a person of the opposite sex.
hey,interjection,"Hey is defined as an expression of greeting similar to ""hello,"" or is a way to attract attention or express annoyance."
hi,interjection,"Hi is defined as a standard greeting and is short for ""hello."""
hidden,adjective,The definition of hidden is concealed.
high,adjective,"High is defined as something that is further up than normal, goes upward, is far above the ground, or is slang for being under the influence of drugs."
Hindi,adjective,The definition of Hindi is related to North Indian or the Hindu religion.
,noun,Hindi is defined as the major language in India.
his,adjective,The definition of his is belonging to or done by him.
,pronoun,His is defined as the possessive form of he.
hispanic,adjective,The definition of Hispanic is relating to Spanish-speaking culture or people.
,noun,"Hispanic is defined as a Spanish-speaking person who lives in the U.S. and comes from Portugal, Spain or Latin America, or someone of this descent."
home,adjective,The definition of home is something that relates to or happens inside the place where a person or family resides.
,noun,Home is defined as a house or place where a person or family lives or where someone was born.
Homo,noun,"Homo is defined as being a human which is part of the genus Homo of hominids, or is offensive slang for a homosexual."
honour,noun,Honour is defined as great respect or privilege.
,verb,Honour is the British spelling for honor which is defined as to show respect for or give an award or title to.
hopefully,adverb,Hopefully is defined as in a positive or wishful way.
hot,adjective,The definition of hot is something that is very warm in temperature. It can also be used to refer to something that is currently very popular or trendy.
hour,noun,"The definition of an hour is sixty minutes, or a period of time."
house,noun,The definition of a house is a building or shelter where people or animals live.
,verb,House is defined as to provide someone or something with shelter or a place to live.
how,adverb,How is defined as in what way.
huh,interjection,"Huh is defined as something you say to ask a question, to indicate that you didn't hear, or to express surprise."
humour,noun,"Humour is the British spelling of the word humor, which is defined as the quality that makes people laugh."
hung,adjective,"The definition of hung refers to a jury that cannot agree on a verdict, to being delayed, or to having an emotional problem or block about something, or, in slang terms, hung also refers to a man with a large penis."
,verb,"Hung is defined as to have been suspended in the air or placed on a wall, or have done the act of suspending something in the air or placing it on the wall."
hypochondriac,noun,The definition of a hypochondriac is a person who always thinks something is wrong with him or who is abnormally worried about his health.
I,noun,I is the ninth letter in the English alphabet.
I,noun,I is defined as an incomplete grade for work in a class.
I,noun,The definition of i is the roman numeral for one.
,pronoun,I is defined as the person who is speaking or telling the story.
ibid,abbreviation,"Ibid, short for the Latin word ibidem, is defined as ""in the same place"" and is generally used in a footnote or reference citation to mean that the source is the same as the source referred to in the last footnote."
ID,abbreviation,ID is defined as an abbreviation for identification.
,contraction,I'd is defined as I had or I would.
,noun,"The definition of the id is the unconscious part of the mind that causes primal needs to be met, according to Freudian theory."
idea,noun,"The definition of an idea is a thought, belief, opinion or plan."
if,conjunction,"If is defined as in the event, or on the condition, that something happens."
illusive,adjective,The definition of illusive is dreamlike or not based in reality.
immensity,noun,The definition of immensity is the state of being huge or endless.
in,adjective,The definition of in is successful or powerful.
,adverb,In is defined as going from outside to inside.
,prefix,"In is defined as not, or into."
,preposition,"In is defined as inside the area, moving from a point outside to point inside or having a specific occupation or function."
inclined,noun,Inclined is defined as something that forms an angle due to its slope or tilt.
,verb,To be inclined means to tend towards something or to be likely to do a particular thing or choose a specific outcome.
including,verb,Including is defined as containing.
incognito,adjective,The definition of incognito is having a hidden identity.
index,noun,"The definition of an index is a guide, list or sign, or a number used to measure change."
,verb,"Index is defined as to categorize or list, or to make adjustments automatically based on a particular changing statistic."
Indian,adjective,"Indian is defined as something or someone relating to India or its people, or to Native Americans."
,noun,The definition of an Indian is a person born in India or a Native American.
indubitably,adverb,"The definition of indubitably is something so apparent, it's unquestionable."
ineligible,adjective,The definition of ineligible is someone who is disqualified from some particular thing or unable to be considered for something.
inextricable,adjective,The definition of inextricable is something that cannot be untied or something you are unable to escape from.
infidel,noun,The definition of an infidel is a person who you consider a heathen because he does not adhere to the religion you believe is the true religion.
inquest,noun,"The definition of an inquest is an investigation or inquiry into something, especially a court inquiry into the cause of death."
inquire,verb,"Inquire is defined as to look into something, to ask a question or to ask for information."
inquiry,noun,The definition of an inquiry is a question or an investigation.
inquisitive,adjective,"The definition of inquisitive is showing curiosity, or being eager to acquire information."
instead,adverb,Instead is defined as something chosen in place of or as a substitute for something else.
intended,adjective,"The definition of intended is something that has been planned, or is in the future."
,noun,Intented is defined as the person you have agreed to marry.
interesting,adjective,Interesting is defined as causing interest or holding attention.
Internet,noun,"Internet is defined as a connected group of computer networks allowing for electronic communication. The networks:Are comprised of educational, commercial and government sitesCan be made up of any number of computers from two to infinityInternet HistoryIt began in 1973 as a project proposed by the United States Department of Defense Advanced Research Projects Agency to link research facilities at defense agencies and universities within the United States.In 1983 the Internet was released to the world.The World Wide Web was designed by the European Center for Nuclear Research (CERN) in 1989 and allowed for all available published information to be searched and viewed in graphical mode.By 1996, there were more than 25 million computers online in over 180 countries.How It WorksThere is no central controlling computer or person that directs traffic or information.Users gain access through gateways.Information is sent/received by users based on their Internet addresses."
internship,noun,The definition of an internship is a period in which you work for free or little pay in order to learn a skill or get your foot in the door of an industry.
into,preposition,Into is defined as going from the outside to the inside.
inured,verb,"Inured is defined as caused someone to be less affected by pain, violence or other unpleasant things."
inversion,noun,Inversion is defined as being upside down.
is,verb,"The word ""is"" represents a singular form of the word be."
islam,noun,"Islam is the Muslim religion, the group of people who practice the Muslim religion, or the areas where the Muslim religion is the dominate religion practiced."
Israel,noun,Israel is a country between Jordan and the Mediterranean Sea.
Israel,noun,Israel are the Hebrew people descended from Jacob of the Bible.
it,pronoun,"The word ""it"" is used to represent an inanimate thing."
Italian,adjective,The definition of Italian is relating to Italy.
,noun,"Italian is defined as a person from Italy, or the culture or language of Italy."
Italic,adjective,"The definition of italic is a type style where the letters are slanted upward to the right, or something that relates to ancient Italy."
,noun,"Italic is defined as a printed letter that is slanted upward to the right, or a language of the Indo-European language family."
its,pronoun,"Its is defined as the possessive form of it, meaning the thing that belongs to “it.”"
ity,suffix,Ity is defined as the state of being something.
Japan,noun,Japan is defined as an Asian island country located off the Eastern coast of Asia.
Japan,noun,Japan means a hard smooth and glossy black coating.
,verb,"The definition of japan is to add a dark, smooth and hard gloss to a metal object."
Jesus,noun,"Jesus was a teacher and the founder of the Christian religion, or a male name."
jew,noun,The definition of a Jew is a person who belongs to a religion called Judaism and who generally traces his or her ancestry back to the ancient Hebrew people of Israel.
jewellery,noun,Jewellery is defined as the British spelling for fashion accessories made of gems and precious metals.
Judaism,noun,Judaism is defined as the Jewish religion and Jewish way of life.
judgement,noun,"Judgement, an alternative spelling for judgment, is defined as an opinion or a decision given by a legal court."
jumper,noun,"Ajumper is defined as a full-body item of children's clothing that goes over a shirt, or a British word for a sweater or pullover."
jumper,noun,The definition of a jumper is a wire used to make an electrical connection.
jumper,noun,Jumper means someone or something that jumps.
June,noun,June is the sixth month of the year after May and before July.
junket,noun,The definition of junket is an enjoyable trip or tour by a business person or public official that is paid for by their employer or from public funds.
junket,noun,The definition of junket is a pudding made from sweet milk and rennet.
Jupiter,noun,"The definition of Jupiter is the largest planet in our solar system, or the supreme god in Roman mythology.Facts About JupiterJupiter was named for the Roman king of the gods.Jupiter is the the fifth planet in the solar system and the largest of all the known planets, more than eleven times bigger that Earth.Jupiter contains both atmospheric gases and gases underneath the surface of the planet:Atmospheric Gases - Ammonia and Ammonium HydrosulfideGases Underneath the Surface - Helium, Methane, Hydrogen and Ammonium HydrosulfideIt is believed to have a small, rocky core.Jupiter has four faint dust rings which were detected in 1979.It is noted for it’s colorful striations of red, white, yellow, and brown. The light colored areas are called bands while the darker colored areas are called belts.Jupiter has the strongest magnetic field of all of the planets in the solar system.There are very strong electrical currents running through this planet.Jupiter generates its own heat.It has clouds of ammonia crystals. The temperature in the cloud tops of Jupiter is 230 degrees Fahrenheit.Jupiter is five times farther away from the Sun than the Earth. Its average distance from the sun is 483,780,000 miles.Jupiter spins faster than any other planet in our solar system which causes it to bulge in the middle and flatten at the poles. Jupiter rotates in approximately 10 hours.Jupiter has an elliptical orbit around the sun. One orbit is almost 12 Earth years long. It takes Jupiter 12 Earth years to orbit once around the sun.Jupiter’s most noticeable feature is called the Great Red Spot. It is an enormous, violent storm, similar to a hurricane on Earth and measures approximately the same diameter as Earth. Scientists are not completely sure what causes the Great Red Spot.To date, Jupiter has 63 known moons and confirmed satellites, the most of any planet. The moons were only discovered after 1975.Galileo’s observation of Jupiter’s moons was the first known recording of them, and Galileo was the first individual to observe Jupiter using a telescope.Seven different probes have been sent to learn more about Jupiter. The first was Pioneer 10 which did a fly by of Jupiter in 1973. In 1979, Voyager 1 and Voyager 2 discovered Jupiter's rings. The Galileo orbitor, launched in 1989, reached orbit by 1995 and collected data for over seven years until 2003 when it was intentionally crashed into the planet."
just,adjective,The definition of just is fair or right.
,adverb,Just is defined as right before or merely.
keep,verb,"Keep is defined as to hold, or retain something, or it can mean to continue doing something."
kilometer,noun,"The definition of a kilometer is a unit of measurement equal to 1,000 meters or .6214 miles."
kleptomaniac,noun,The definition of a kleptomaniac is someone with an abnormal urge to steal.
labour,noun,"Labour is the British spelling of the world labor, which is defined as work."
laid,verb,The definition of laid is the past form of lay.
lain,verb,Lain is defined as to have gone into a resting position.
large,adjective,"The definition of large is greater than average in size or amount, or important or significant."
last,adjective,"The definition of last is coming after all others, the most recent, the only remaining or the final."
,adverb,Last means after all others.
,noun,Last is defined as a person or thing that happens after everyone or everything else.
,verb,Last is to go on or continue for awhile.
late,adjective,The definition of late is something that happens or someone that arrives after the expected time.
later,adverb,The definition of later is afterward.
,interjection,Later is defined as an informal way of saying bye.
Latin,adjective,"The definition of Latin is something related to the language of ancient Rome, or someone or something associated with Latin America, its music or its language."
,noun,"Latin is the language of ancient Rome and is a language widely used in religion and scholarly works, or a person whose native language originates from Latin."
learn,verb,The definition of learn is to acquire knowledge or new information.
least,adjective,The definition of least is the lowest in importance or the smallest of something.
leave,noun,"Leave is defined as permission, or is time off from work."
,verb,"The definition of leave is to depart, or to let something alone, or to bequeath."
leaves,noun,The definition of leaves are parts of a plant or tree attached to the branches or stems.
,verb,Leaves is defined as exits.
lechery,noun,Lechery is defined as excessive or unrestrained indulgence in sexual activity or inappropriate sexual desires.
LED,verb,Led is the past tense of lead.
left,adjective,The definition of left is a person on the liberal side of politics or on the opposite side from the right side.
,verb,Left is defined as something remaining or to have gone away.
leftover,noun,The definition of leftover is something that remains after an initial serving or after initial selections have been made.
Lent,noun,"Lent is defined as a period of 40 days that Christians observe from Ash Wednesday to Easter, often marked by giving something up."
,verb,"The definition of lent is the past tense of lend, meaning to let someone have something temporarily."
lesbian,adjective,The definition of lesbian is something related to homosexual women or women who feel sexual attraction to other women.
,noun,"Lesbian is defined as a homosexual woman, or a woman who is sexually attracted to other women."
less,adjective,The definition of less is not as much.
,adverb,Less is defined as to a smaller degree or amount.
,noun,Less means a smaller amount or something not as important.
,preposition,Less is defined as minus.
light,adjective,"The definition of light is being pale, not deep or dark."
,noun,Light is defined as radiation that acts upon on the retina of the eye to make site possible.
,verb,Light means to make something burn or illuminate.
like,adjective,Like means similar or nearly the same.
,noun,The definition of a like is a preference or something that one enjoys.
,verb,Like is defined as to enjoy or agree with something.
like-minded,adjective,"The definition of like minded is having similar ideas, tastes, thoughts or opinions."
limbo,noun,The definition of limbo is a dance where you have to duck lower and lower to get underneath a pole without touching the pole or the ground.
limbo,noun,"Limbo is defined as a state where you uncertainly await something important, such as a decision about your future or, in some Christian religions, a place where babies go after they die if they have not been baptized."
,verb,To limbo means to do a dance where you have to duck and bend to get under a pole without touching the pole or the ground.
little,adjective,"The definition of little is small in size, quantity or importance."
,adverb,Little is defined as only slightly or not much.
live,adjective,"The definition of live is seeing or hearing a performance as it is happening, not prerecorded."
,verb,"Live is defined as to have life, continue to be alive, to reside somewhere or to behave throughout one's life in a particular way."
live-in,adjective,The definition of live in is someone who resides in your home with you permanently or on a full time basis.
logistic,adjective,The definition of logistic is something that relates to coordinating complex projects or movements or solving complicated problems.
logo,noun,The definition of a logo is a sign or symbol that identifies a company or a brand.
logo,noun,Logo is defined as a simple computer programming language for children.
long,adjective,The definition of long is an extended distance or an extended period of time.
loser,noun,"The definition of a loser is a person who is defeated or disadvantaged, is habitually failing or who is considered unpopular."
lost,adjective,The definition of lost is missing or unable to be found or it can mean something that was wasted or not used in a valuable way.
,verb,Lost is defined as the past tense of to lose.
lout,noun,The definition of a lout is a person without social manners.
low,adjective,"The definition of low is something with little height, emotionally depressed, below the surface level, quiet or deep in pitch."
Machiavellian,adjective,The definition of Machiavellian is related to the crafty and deceitful principles in Machiavelli's book The Prince.
,noun,Machiavellian is defined as a person who follows Machiavelli's ideas of deceitfulness in The Prince.
made-up,adjective,The definition of made up is a person who is wearing lots of cosmetics on his or her face.
made-up,adjective,Made up is defined as something that is not true or that is imaginary.
,verb,Made up means two people who had a fight have reconciled and gotten over it.
magnificence,noun,The definition of magnificence is splendor and lavishness.
make,noun,The definition of make is the style or way in which something is produced.
,verb,Make is defined as to produce something.
man,noun,The definition of a man is a member of the species Homo sapiens or an adult male.
mangrove,noun,"The definition of a mangrove is a tropical tree or shrub that grows in swampy areas and has tangled roots located above ground, or a tidal swamp with a number of these types of trees and shrubs."
manoeuvre,noun,"Manouevre is defined as the British spelling of maneuver, meaning a skillful move."
,verb,"Manouevre is the British spelling of maneuver, meaning to move in a skillful way."
manor,noun,"The definition of a manor is a mansion, or a house on an estate."
many,adjective,"The definition of many is an indefinite, large number of people or things."
Mars,noun,"The definition of Mars is the fourth planet from the sun.Facts About MarsThe Romans named Mars after their god of war but its nickname is the ""Red Planet,"" named because of its reddish color, caused by the iron oxide in the soil.In 1877 Giovanni Schiaparelli noticed a series of strange lines on the surface of the planet which he deemed canali, or canals. He supposed that these lines were waterways or highways built by alien people on Mars. H.G. Wells’ famous novel, The War of the Worlds, detailed an attack on the human race by Martians. In the 1960s the Mariner spacecraft confirmed that Mars was basically a lifeless planet; however, in 1996, scientists examined a meteorite that came from Mars and found microscopic life on it.Mars has a diameter of 4220 miles, a bit more than half the size of Earth.A day on Mars is approximately 24 hours and 39 ½ minutes. Mars orbits the Sun every 687 Earth days.It is a cold planet, reaching -207 degrees F. and rarely getting above freezing (32 degrees F.).The poles of Mars are covered in dry ice (carbon dioxide) and the amount of ice varies by season.Basalt makes up the outer surface of Mars, due to the volcanic activity in the past.The 900 mile diameter core of Mars is mostly solid, made of nickel, iron, and sulfur. The outer crust is basalt. The core produces a very weak magnetic field. There is evidence of water under the surface.Mars has the highest mountain in all of the solar system, Olympus Mons. It is an inactive volcano that is 15.5 miles high and 372 miles in diameter.Mars has the biggest canyon system in all of the solar system, the Valles Marineris, which is 2500 miles in length and is four miles deep.Mars has two small moons. Deimos orbits east to west, and Phobos orbits from west to east. They are not spherical and are most likely asteroids. The moons were discovered in 1877, by Asaph Hall, at the U.S. Naval Observatory."
martyrdom,noun,"The definition of martyrdom is the state of suffering, or giving one's life for a cause."
Marxism,noun,The definition of Marxism is the theory of Karl Marx which says that society's classes are the cause of struggle and that society should have no classes.
math,noun,"The definition of math is the overall group of sciences that study numbers, shapes and their relationships."
matter,noun,"The definition of matter is what something is made of, what all physical things are made of, or something important or a problem."
mausoleum,noun,The definition of a mausoleum is a very large tomb or room for burial.
may,verb,May is defined as possible or permissible.
mediation,noun,The definition of mediation is a process of negotiation in a relationship to resolve differences.
Medicare,noun,Medicare is defined as a federal health program that pays for some of the medical and hospital expenses of people over 65 years of age using Social Security funds.
mediterranean,adjective,"The definition of Mediterranean is something related to or characteristic of the Mediterranean Sea, the countries bordering the sea or its inhabitants."
,noun,Mediterranean is defined as the Mediterranean Sea or a native of a country bordering the Mediterranean Sea.
ment,suffix,"Ment is defined as a result, condition, process or is defined as of doing something."
merchandising,noun,The definition of merchandising is the act of promoting someone or something for sale in a retail store or retail setting.
Mercury,noun,"The definition of mercury is a heavy, silver-white metal with an atomic number of 80 that is liquid at ordinary temperatures.Facts About Mercury As a MetalIts symbol is Hg, from the Latin hydrargyrum, meaning liquid silver.Its boiling point is over 356 degrees Celsius, and it freezes at around minus 38 degrees Celsius.It does not conduct heat very well, but is a fairly good conductor of electricity.It has high surface tension and breaks up when poured or spilled onto a flat area, forming small beads which move around quickly.It is used in thermometers because its expansion when heated is fairly constant, and in barometers because of its density.It can be easily absorbed into your body through the skin, lungs, or by ingesting it.You should never knowingly inhale or ingest mercury. Its vapor can be poisonous in concentrated amounts. It can: Damage your nervous system, cause brain and kidney damage, inhibit your immune system and lead to birth defectsIt was also known as quicksilver, because of its appearance and it is liquid. It is the only metal which is liquid at room temperature.Mercury was known to ancient civilizations including the Egyptians and the Chinese. It has been found in Egyptian tombs dating back to the second century B.C. Some thought it could heal and promote good health and used it as medicine.Medieval alchemists thought that mercury became gold when it was in a solid state."
meridian,adjective,The definition of meridian is at midday or the greatest or highest point.
,noun,"A meridian is defined as a large imaginary circle that passes through two poles, particularly on a globe, or the highest stage of development."
Messiah,noun,The definition of a messiah is a savior or leader for some cause.
Met,verb,Met is defined as two or more people or things have come together or connected.
Mexico,noun,"Mexico is defined as a North American country south of the United States, with Spanish as its national language."
miasma,noun,The definition of miasma is steam rising from rotting vegetable or animal matter.
mice,noun,Mice are defined as little rodents.
mid,adjective,The definition of mid is something in the middle.
middle,adjective,The definition of middle is being at a central or intermediate point.
,noun,Middle is defined as the area that is at the center.
mincing,adjective,The definition of mincing is the actions of someone who acts dainty or refined.
mining,noun,"Mining is defined as extracting metals and minerals from the Earth, or the process of placing explosives where they will explode."
mm,abbreviation,Mm is defined as millimeter.
,interjection,Mm is defined as a way to say yes or maybe to a question.
modernity,noun,"Modernity is the state of being current, or up with the times."
mogul,noun,The definition of a mogul is a powerful or rich individual or a bump on a ski slope.
mom,noun,Mom is a person who has given birth to a child or who has responsibility for the care of children.
Mongolian,adjective,The definition of Mongolian is a person or thing from the country of Mongolia.
monologue,noun,The definition of a monologue is a part in a play in which a character speaks alone.
monologue,noun,The definition of a monologue is a speech presented by one person.
monotheism,noun,Monotheism is the belief in only one God.
more,adverb,"More is defined as something done again, or something that is done or felt to a larger extent."
,pronoun,More means a larger amount or greater number of things.
mortician,noun,The definition of a mortician is an undertaker - a person whose job it is to host funerals for the dead.
most,adjective,"The definition of most is the majority or the greatest amount, degree or size."
,adverb,Most is defined as to the highest or greatest level.
,noun,Most means the greatest number of something.
mould,noun,"Mould is the British spelling for mold, which is defined as a container that is used to set something's shape or is a fungus that grows."
mourning,noun,Mourning is a feeling and period of sadness after a loss.
mr,noun,Mr. is defined as a title for a man.
mrs,noun,Mrs. is defined as a title for a married or widowed woman.
ms,noun,Ms. is defined as a title for a woman that does not specify whether or not she is married or widowed.
multiform,adjective,The definition of multiform is having many shapes.
mum,adjective,Mum means not talking.
,interjection,Mum is defined as a way to request that someone stop talking.
,noun,"The definition of a mum is a strong beer, a shorter way of referencing the flower chrysanthemum or a British term for mother."
,verb,Mum is defined as to act as a mime or wear a mask to a festival.
muslim,noun,The definition of a Muslim is a person who follows and practices the beliefs of Islam.
must,noun,The definition of a must is something that has to be done.
,verb,Must is used to express a requirement or a necessity.
mutable,adjective,"The definition of mutable is a person or thing that changes or can be changed, or changes often."
myself,pronoun,Myself means your happy and healthy state.
myself,pronoun,Myself is how you talk about yourself when speaking or writing.
name,noun,"The definition of a name is a word or phrase that labels a person, place or thing."
,verb,"Name is defined as to give a title to a person, place or thing."
nasa,abbreviation,"NASA is defined as an acronym for the National Aeronautics and Space Administration, the federal agency that is responsible for aerospace research, aeronautics, and the civilian space program."
nauseous,adjective,"The definition of nauseous is a feeling of being sick and feeling as if you need to vomit, or something disgusting or sickening."
Nazi,adjective,"Nazi is defined as something that relates to the German fascist political group founded in 1919, supported by Adolf Hitler and abolished in 1945."
,noun,"The definition of a Nazi is a person who belongs to, supports or acts like a member of Hitler's National Socialist German Workers' Party."
near,adjective,"The definition of near is close in distance, time or relationship."
,adverb,Near is defined as at a relatively close distance in space or time.
,verb,Near means to get closer.
need,noun,The definition of a need is a desire or requirement.
,verb,"Need is defined as to want, desire or require."
neighbour,noun,"Neighbour is an alternative spelling of the word neighbor, which is a term used to refer to people who live in your community and who are close to you."
networking,noun,"Networking is defined as the act of making contact and exchanging information with other people, groups and institutions to develop mutually beneficial relationships, or to access and share information between computers."
never,adverb,"Never is defined as absolutely not, or not ever."
new,adjective,The definition of new is coming into being for the first time.
,noun,New is defined as something that has recently come into being.
next,adjective,The definition of next is just before or after.
,adverb,Next is defined as in the space immediately before or after.
,noun,Next means the one immediately following.
nice,adjective,The definition of nice is someone who is pleasant or agreeable or something that is in good condition and that is pleasing.
no,adjective,"The definition of no is not any, not one or hardly any."
,adverb,No means the opposite of yes and is used to express denial or disagreement.
,interjection,No is defined as a way to express disbelief or refusal.
non,interjection,Non is defined as no.
,prefix,Non is defined as not or no.
nonchalance,noun,Nonchalance is a state in which you are unfazed or unaffected.
noncommittal,adjective,The definition of noncommittal is a person or behavior that is vague and that does not reveal a commitment to something or position on something.
not,adverb,Not is defined as a word used with a verb to make a negative.
notate,verb,To notate is to make a note in words or music.
now,adverb,Now is defined as at the present time or immediately.
October,noun,October is the tenth month of the year.
of,preposition,Of is defined as to indicate ownership or distance from something.
off,adjective,"The definition of off is something that is no longer attached, no longer in operation or no longer happening."
,adverb,Off is defined as to keep someone or something away or separate.
,adverb,Off means to be no longer in a functioning position.
,adverb,Off is defined as to be less than.
offence,noun,"Offence is another word for offense, which is a wrongdoing or discourtesy."
officer,noun,"The definition of an officer is a person in a position of authority in a business, the police, the military or other group."
,verb,"Officer is defined as to command over with authority, or provide with authority figures."
often,adverb,The definition of often is many times or frequently.
oh,interjection,"Oh is defined as something said to show surprise, to attract attention, or to show you understand."
OK,adjective,The definition of OK is all right or correctly.
,adverb,Ok means all right or correctly.
,interjection,OK is defined as all right.
,noun,OK is an approval.
,verb,OK is defined as to approve.
old,adjective,The definition of old is advanced in age or having been around for awhile.
,noun,Old is used to mean people advanced in age collectively or days past.
on,adjective,The definition of on is in action or performing a function.
,preposition,On is defined as to show position.
one,noun,"One is a single person, unit or thing or the first number in a counting series."
one-off,noun,The definition of a one-off is something that happens only a single time.
only,adjective,The definition of only is alone or by itself.
,adverb,Only is defined as no other or nothing more.
,conjunction,Only means but or except that.
op,noun,"Op, short for optical art, is a style of art that uses figures to create illusions."
opec,abbreviation,"OPEC is defined as an abbreviation for Organization of Petroleum Exporting Countries, which is a union of oil producing countries that regulate the amount of oil each country is able to produce."
optimize,verb,To optimize is to make something the best it can be.
orifice,noun,"The definition of an orifice is an opening, especially an opening to the body or the opening of a tube or pipe."
other,adjective,The definition of other is the remaining or different one.
our,adjective,The definition of our is belonging or relating to us.
out,adjective,The definition of out is something beyond the set limit or boundary.
out,adjective,Out means someone who is openly gay.
,adverb,"Out is defined as away, in the open, into existence, visible or clearly."
over,preposition,"Over is defined as above, on top of or higher in rank or authority."
paleolithic,adjective,"The period of time that extends from the beginning of human existence, approximately 2.5 million years ago, until around 10,000 years ago, relating to the time humans began to use simple tools made from stone.Also referred to as the Old Stone Age."
pallet,noun,The definition of a pallet is a portable platform used to move or store goods or a tool used by potters to smooth clay.
pants,noun,Pants are trousers or clothing that you wear to cover your legs and bottom.
paper,noun,"Paper is defined as an essay, written report or school exam."
paper,noun,The definition of a paper is a newspaper.
paper,noun,Paper means a thin material made of fiber pulp.
paramour,noun,The definition of a paramour is a lover or romantic partner.
