word,pos,definition
complementarity,,
completely,,
complicate,verb,"make sth difficult to do, understand or deal with"
composer,,
compositional,,
comprehensible,,
comprehensively,,
compressible,,
compressor,,
compulsively,,
computation,,
computerize,,
computing,,
comradeship,,
con,noun,"The definition of a con is a disadvantage, a negative reason or a scam designed to trick or defraud someone."
,verb,"To con is to trick someone, or use deception to defraud or lie to someone."
concatenate,,
concatenation,,
concealment,,
concentrated,,
concerning,,
concerto,noun,musical composition for one instrument supported by an orchestra
conclave,,
concordant,,
condenser,,
condign,,
conditioned,,
conditioner,,
condom,noun,"rubber covering worn by a man on his penis during sex, as a contraceptive"
condor,,
confection,noun,cake or other sweet food that looks very attractive
confetti,noun,small pieces of coloured paper thrown at weddings
confined,,
confrontation,,
Confucian,,
confucianism,,
confused,adjective,"The definition of confused is a person who cannot think clearly, or is something that is jumbled or without order."
,verb,Confused means you caused someone to feel bewildered or perplexed.
confusing,,
congest,,
congested,adjective,too full; overcrowded
congestion,,
conglomeration,,
congratulatory,,
congressional,,
congressman,,
congruency,,
conical,adjective,shaped like a cone
conifer,noun,"tree, eg pine or fir, that produces hard dry fruit"
conjugal,adjective,The definition of conjugal is relating to marriage or a relationship.
connected,,
connectivity,,
connexion,,
conqueror,,
consanguinity,,
conservatism,,
conservative party,,
conservator,,
conservatory,noun,"room with glass walls and roof that is built at the side of a house for growing plants in, etc"
,noun,"school of music, drama, etc"
considerably,,
considering,conjunction,used to show that you are thinking about and are influenced by a particular fact when you make a statement about sth
constabulary,,
constantly,,
constricted,,
constructor,,
consulate,,
consultative,,
consuming,,
contagion,noun,"The definition of contagion is an infectious disease spread through contact, or the transmission of a disease from one person to another through contact, or the spread of a bad or harmful idea or practice."
contained,,
container,noun,"bottle, box, etc for holding sth"
,noun,"large metal box, etc for transporting goods"
containerization,,
contaminant,,
contestant,,
contextual,adjective,"The definition of contextual is depending on the context, or surrounding words, phrases, and paragraphs, of the writing."
continence,,
continually,,
continuation,noun,act of continuing
,noun,thing which continues beyond or extends sth else
contraband,adjective,The definition of contraband is not allowed to be imported or exported.
,noun,"Contraband is defined as goods that are against the law to trade or to be imported or exported, or goods that are smuggled or a slave during the Civil War who was behind the Union lines."
contraception,noun,preventing of pregnancy
contraceptive,,
contributor,,
contributory,,
controvert,,
contusion,,
conurbation,noun,large urban area formed by several towns which have spread towards each other
conventionality,,
conventionalize,,
convergent,,
conversational,,
conversationalist,,
converter,,
convertible,,
conveyance,noun,The definition of conveyance is the act of transmitting or transferring something.
convincing,,
convoke,,
convulse,verb,(cause sb to) make a violent shaking movement
cooker,,
cookery,,
cooking,,
cookout,,
cooler,,
coordinator,noun,The definition of a coordinator is a person who is in charge of planning something or of facilitating the occurrence of events or the collaboration of people.
copier,,
copilot,,
coquette,,
cordial,adjective,The definition of cordial is someone who is nice and friendly.
cordiality,noun,The definition of cordiality is sincere kindness.
cordless,,
cordon,noun,"ring or line of police officers, soldiers, etc guarding sth or stopping people entering or leaving an area"
,verb,"stop people getting into an area by surrounding it with police, soldiers, etc"
corduroy,noun,thick cotton cloth with soft raised ridges
cork,noun,light springy bark from a type of oak tree
,noun,"round piece of this used to seal bottles, esp wine bottles"
,verb,seal a bottle with a cork
,noun,tool for pulling corks from bottles
cornea,noun,transparent protective covering of the eyeball
cornice,noun,ornamental border around a ceiling or at the top of a column
corona,,
coroner,noun,official whose job is to find the cause of any accidental or suspicious death by holding an inquest
corps,noun,The definition of a corps is a group of people working together or under the same organization to achieve a common goal or goals.
,noun,Corps is defined as a special branch of the military or a group of combat forces consisting of two or more divisions and assisting troops.
correctional,,
corrective,,
correlative,,
corresponding,,
correspondingly,,
corroborative,,
corrosion,,
corrugated,adjective,shaped into a series of regular folds that look like waves
cortex,,
corundum,,
cosset,,
cost,noun,The definition of cost is the amount paid for something or the expense of doing something.
,verb,Cost is defined as to be priced at something or to lose.
costing,,
costly,,
cosy,adjective,warm and comfortable
,adjective,friendly and private
,noun,cover to keep a teapot warm
cotta,,
cottonwood,,
could,verb,"The definition of could is often used in the place of ""can"" to show a little doubt."
councillor,,
councilor,,
counseling,noun,The definition of counseling refers to guidance or advice provided to help someone resolve difficulties or decide issues.
countable,,
countdown,,
counteraction,,
counterattack,,
counterbalance,verb,have an equal but opposite effect to sth else
,noun,thing that has an equal but opposite effect to sth else and can be used to limit the bad effects of sth
counterclockwise,,
countermand,verb,cancel or change a command you have already given
counterpoint,,
counterproposal,,
country,adjective,The definition of country is relating to rural life.
,noun,"A country is defined as a nation, the people of the nation or land in a rural area."
courthouse,,
courtly,,
courtyard,noun,open space surrounded by walls but with no roof
cover,noun,"The definition of a cover is something that goes over, rests on the surface or provides a place to hide."
,verb,Cover is defined as to conceal or place something over.
covering,,
cowardly,adjective,The definition of cowardly is something characterized by a lack of courage.
cowboy,,
cowhand,,
cowl,noun,"large loose covering for the head, worn esp by monks"
,noun,"metal cover for a chimney, etc"
coworker,,
crabbed,,
crackdown,noun,The definition of crackdown is the strict enforcement of specific rules.
cracker,noun,"thin dry biscuit, often eaten with cheese"
,noun,"tube of coloured paper that makes a cracking noise when pulled apart by two people and has toys, presents, etc inside it"
crackle,verb,"make a series of short sharp sounds, as when dry sticks burn"
,noun,series of short sharp sounds
craftsmanship,,
cranial,,
crate,noun,large wooden container for goods
,verb,pack sth in a crate
crayon,noun,pencil of soft coloured chalk or wax
,verb,draw sth with crayons
creamy,,
crease,noun,"line made on cloth, paper, etc by crushing, folding or pressing"
,noun,wrinkle on the skin
,noun,white line near the wicket on a cricket pitch
,verb,(cause sth to) develop creases
creator,noun,person who creates
,noun,God
credentialism,,
credentials,noun,"qualities, etc that make you suitable to do sth"
,noun,documents showing that you are who you claim to be
credit card,noun,card allowing the holder to buy goods on 
creditable,adjective,deserving praise (although not perfect)
cremate,verb,burn the body of a dead person esp as part of a funeral ceremony
crematorium,,
criminally,,
crinkle,noun,"very thin fold or line made on paper, fabric or skin"
,verb,(cause sth to) form crinkles
crippling,,
criss-cross,adjective,with crossed lines
,verb,form or make a criss-cross pattern on sth
crisscross,,
criteria,noun,"Criteria is defined as the plural form of criterion, the standard by which something is judged or assessed."
critically,,
croak,noun,"deep, hoarse sound as made by a frog"
,verb,make a deep hoarse sound
,verb,speak or say sth in a croaking voice
croc,,
crockery,noun,"plates, cups, dishes, etc"
crocodile,noun,"large river reptile with a long body and tail, found in hot countries"
,noun,crocodile skin made into leather
,noun,"long line of people, esp children, walking in pairs"
,noun,insincere sorrow
croissant,noun,"small sweet roll with a curved shape, eaten esp at breakfast"
crone,noun,"The definition of a crone is a hag or an old, ugly woman."
cross-country,adverb,"across the country or fields, not on roads"
crossbow,noun,weapon consisting of a bow
crosscheck,,
crosscut,,
crossfire,noun,"firing of guns from two or more points, so that the bullets cross"
crossing,noun,"place where you can safely cross a road, river, etc or from one country to another"
,noun,"place where two roads, railways, etc meet"
,noun,journey across the sea or a wide river
crossroads,noun,place where two roads meet and cross each other
,noun,at a point where an important decision is to be taken
crossword,noun,puzzle in which words have to be guessed from clues and written in spaces in a grid
crowded,,
crown court,,
crucify,verb,kill sb as a punishment by nailing them to a cross
,verb,criticize or punish sb very severely
cruiser,,
crumple,verb,(cause sth to) be crushed into folds
,verb,fall down; collapse
crusher,,
crushing,,
crustal,,
crypt,noun,room under a church
crystalline,,
crystallize,,
crystallography,,
cub,noun,"young lion, bear, fox, etc"
Cuban,,
cubic,,
cubicle,noun,small space formed by dividing a larger room
cucumber,noun,"long green vegetable, eaten raw, esp in salads"
cudgel,noun,short thick stick used as a weapon
,verb,hit sb with a cudgel
cultivated,,
cultivation,,
culvert,noun,The definition of culvert is a tunnel or a drain under a road or a railway that carries a stream or drainage from one side to the other.
,verb,Culvert is defined as to channel or direct a stream or drainage through a tunnel under a road or railway.
cuneiform,,
cup,noun,"small bowl with a handle for drinking tea, coffee, etc"
,noun,contents of a cup
,noun,gold or silver vessel given as a prize in a competition
,noun,something shaped like a cup
,noun,not what sb likes
,verb,put your hands in the shape of a cup; hold sth as if in a cup
curd,noun,thick soft substance formed when milk turns sour
curiously,,
curl,noun,"something that forms a curved or round shape, esp a small bunch of hair"
,verb,form into a curl or curls
,verb,grow into curls; coil
,verb,lie or sit with a curved back and legs close to the body
,adjective,having curls
curly,,
currently,,
cursed,,
cursive,,
cursor,noun,small movable mark on a computer screen that shows the position you are at
curtailment,,
curtsy,noun,act of bending the knees (by a woman) to show respect
custard,noun,"sweet yellow sauce made from eggs, sugar, flour and milk"
customs,noun,"government department that collects taxes on goods brought into the country, etc"
,noun,"place at an airport, etc where your bags are checked as you come into a country"
,noun,taxes payable on imported goods
cut,adjective,The definition of cut is having been divided by a sharp object or having been reduced.
,noun,Cut is defined as the act or result of removing or dividing with a sharp object.
,verb,Cut means to divide with a sharp instrument.
cut-off,,
cutaneous,,
cutlery,noun,"knives, forks, etc used for eating"
cutter,noun,person or thing that cuts
,noun,尤用于构成复合词/
,noun,tool for cutting
,noun,type of small sailing boat
cutting,noun,article or a story cut from a newspaper or magazine
,noun,"short piece of the stem of a plant, used for growing a new plant"
,noun,"narrow open passage cut in high ground for a road, railway or canal"
,adjective,"(of remarks, etc) unkind; hurtful"
cyclic,,
cycling,,
cyclist,,
cylindrical,,
dad,noun,Dad is defined as a term used for your father.
daddy,noun,Daddy is defined as an affectionate name for a father.
daffodil,noun,yellow trumpet-shaped flower that grows in spring
daguerreotype,,
daisy,noun,"The definition of a daisy is a type of flower with white petals around a yellow center, or a female name, or is slang for something very good."
dally,,
dame,noun,title given to a woman as a special honour because of the work she has done
damned,,
damper,noun,small flat piece of metal that controls the flow of air into a fire
,noun,"make sth less enjoyable, successful, etc"
dancer,,
dangle,verb,hang or swing loosely
dappled,,
daredevil,,
darken,,
darkness,,
darkroom,,
dated,,
dateline,,
datum,noun,The definition of a datum is a fact used to make a conclusion or a point of reference in geography or geology.
daub,noun,The definition of a daub is something covered in stickiness or greasiness.
,verb,Daub is defined as covering or smearing with paint or something sticky or grease.
day,noun,The definition of a day is a 24-hour period of time or the period of light between sunrise and sunset.
day-to-day,,
daybreak,,
daylight,,
daytime,,
de-emphasize,,
deaden,verb,"make a sound, feeling, etc less strong"
deadhead,,
deadlock,noun,total failure to reach agreement
deadpan,,
deadweight,,
deafen,verb,make it difficult for sb to hear sth
dealer,,
dealing,,
dealings,,
debatable,,
debug,,
debutante,,
dec.,,
decapitate,verb,cut off sb's head
decease,,
decelerate,,
December,noun,twelfth month of the year (See examples of use at
decentralize,,
decidedly,,
decision-making,,
decisiveness,,
declaim,,
declarative,adjective,The definition of declarative is a simple or definitive statement.
,noun,"Declarative is defined as a definitive statement, simple word or phrase."
declivity,,
decode,verb,find the meaning of a message written in code
decollete,,
decomposition,,
decompression,,
decor,noun,style in which the inside of a room is decorated
decorative,,
decouple,,
decrepitude,,
deducible,,
deductible,,
deepen,verb,"become or make sth deep, deeper or more intense"
deeply,,
defame,verb,attack the good reputation of sb
defeatism,,
defeatist,,
defecate,verb,To defecate is defined as to have a bowel movement.
defence,noun,"Defence, the British spelling of defense, is defined as a protection against attack or the act of guarding, or an action that is taken in response to an attack."
defender,,
defensible,,
deflate,verb,"make a tyre, etc smaller by letting out air or gas"
,verb,make sb feel less important or confident
,verb,reduce the amount of money in circulation in an economy
defoliate,,
deform,verb,change or spoil the natural shape of sth
deformation,,
defrock,,
defrost,verb,"remove ice from a refrigerator, frozen food, etc"
defuse,verb,reduce the dangerous tension in a difficult situation
,verb,remove the fuse from a bomb
degeneration,,
degenerative,,
deglaciation,,
degraded,,
dehumanize,,
dehydrate,verb,"remove water from sth, esp food, in order to preserve it"
,verb,(cause sb to) lose too much water from the body
dehydration,,
deify,,
deletion,,
deli,,
delighted,adjective,The definition of delighted is you feel great pleasure or joy.
delimit,,
delocalize,,
delusive,,
demagoguery,,
demagogy,,
demeanour,noun,"Demeanour is defined as an alternative spelling of demeanor, which refers to your general personality and the way you behave."
demerit,,
demobilize,,
demographic,,
demolition,,
demoniac,,
demonic,,
demonstrable,adjective,that can be shown or proved
demonstrator,,
demoralize,verb,"destroy sb's courage, confidence, etc"
demote,verb,move sb to a lower position or rank
demystify,,
demythologize,,
denominate,,
dental,adjective,of or for the teeth
dentistry,,
denture,,
deodorant,noun,substance that hides or removes body odours
department store,,
depiction,,
deployment,,
depopulate,,
deportation,,
depositor,,
deprave,,
depressing,,
deprived,adjective,The definition of deprived is not having enough of the necessities of life or a lack of positive opportunities and experiences.
Dept.,,
derailment,,
deranged,adjective,"unable to act and think normally, esp because of mental illness"
deregulate,,
deregulation,,
dermatologist,,
derrick,noun,large crane for moving cargo on a ship
,noun,"framework over an oil well to hold the drilling machinery, etc"
descendent,,
describe,verb,Describe is defined as to give details about something to someone.
desegregate,,
deserted,,
desertification,,
desertion,,
deservedly,,
designer,,
desirability,,
desirous,,
desk,noun,"table, usu with drawers in it, that you sit at to read, write or work"
,noun,screen on a computer that shows which programs can be used
,noun,"computer with a keyboard, screen and main processing unit, that fits on a desk"
,noun,"use of a small computer and a printer to produce a small book, a magazine, etc"
desktop,,
despatch,,
desperado,,
desperately,,
despoil,,
destined,adjective,intended or certain
,adjective,on the way to a place
destroyer,,
detachable,,
detectable,,
detection,,
detector,,
detergent,noun,"liquid or powder used for washing clothes or plates, etc"
deterioration,,
determinism,,
deterministic,,
dethrone,verb,"remove a king, queen or ruler from power"
detonate,verb,"(cause a bomb, etc to) explode"
detonation,,
detraction,,
detractor,,
devalue,verb,make the value of a currency less
devastating,,
developer,,
developing,,
developmental,,
deviance,,
devilish,,
devotional,,
dextral,,
diabetic,,
diadem,,
dialogue,noun,"The definition of dialogue is conversation, or an exchange of ideas."
diametrically,adverb,completely
dichotomous,,
did,verb,Did is the past tense of do.
diehard,,
dietary,,
dieter,,
dietician,,
dietitian,,
differential,,
difficult,adjective,The definition of difficult is something that is hard to understand or do and is a person that is hard to get along with.
digestible,,
digestive,,
digitize,,
dike,,
dilution,,
dime,noun,coin of USA and Canada worth ten cents
dimensional,adjective,The definition of dimensional is something a shape that can be measured.
dimly,,
dimple,noun,small natural hollow in sb's cheek or chin
dinette,,
dinghy,noun,small open boat
dining room,,
dint,,
diocese,noun,area for which a bishop is responsible
diorama,,
dioxide,,
directly,adverb,in a direct manner; exactly
,adverb,immediately
,conjunction,as soon as
directness,,
director general,,
dirt,noun,"unclean matter, eg dust or mud"
,noun,scandal
,adverb,very cheap
dirty,adjective,"The definition of dirty is something soiled, unclean or impure."
,verb,To dirty is to cause something to become unclean or impure.
disadvantageous,,
disaffected,,
disagreeable,,
disagreement,,
disappearance,,
disappointed,,
disappointing,,
disapprobation,,
disapproval,,
disarm,verb,take away all weapons from sb
,verb,(of a country) give up all or some (esp nuclear) weapons
,verb,make sb feel less angry or critical
disarmament,,
disassociate,,
disavowal,,
disband,verb,break up a group of people or an organization
disbelieve,verb,refuse to believe sb/sth
disburse,verb,Disburse is defined as to pay or give out.
disciplinary,,
disciplined,,
disco,noun,"club, party, etc where people dance to pop records"
disconnect,verb,detach sth from sth; undo a connection
disconnected,,
discontinuity,,
discontinuous,,
discordance,,
discouragement,,
discourteous,adjective,impolite; rude
discreditable,,
discriminatory,,
discus,noun,heavy round disc thrown as a sport
diseased,,
disenchant,,
disenchanted,adjective,having lost your good opinion of sb/sth
disengage,verb,free sb/sth from the person or thing that is holding them or it
,verb,(of an army) stop fighting
disentangle,verb,free sb/sth from sth complicated or confused
,verb,"make string, etc free of knots"
disequilibrium,,
disfigure,verb,spoil the appearance of sb/sth
disgorge,verb,(cause sth to) flow or pour out of sth
disgraceful,,
disgruntle,,
disgusting,,
disharmony,,
dishonesty,,
dishonour,noun,loss of respect because you have done sth immoral or unacceptable
,verb,make sb/sth lose people's respect
,verb,refuse to keep an agreement or promise
,adjective,immoral or unacceptable
dishwasher,,
disinclination,,
disinclined,adjective,not willing
disinfectant,,
disinter,,
disinterest,,
disjointed,adjective,not communicated in a logical way; not connected
disjunction,,
disjunctive,,
disk,noun,"device for storing information on a computer, with a magnetic surface that records information received in electronic form"
,noun,device in a computer that transfers information to and from a disk
dislocate,verb,put a bone out of its usual position
,verb,"stop a system, plan, etc from working"
dislocation,,
dislodge,verb,force or knock sth out of its position
disloyal,adjective,not loyal
dismember,verb,cut or tear the arms and legs off a dead body
,verb,"divide a country, etc into smaller parts"
dismissal,,
disobedience,,
disobey,verb,"refuse to do what a person, law, etc tells you to do"
disordered,,
disorderly,,
disorganize,,
dispensable,,
dispensary,,
dispenser,,
dispersal,,
dispirit,,
dispirited,adjective,without enthusiasm; discouraged
displease,verb,annoy sb
disport,,
dispossess,verb,"take sb's property, etc away from them"
disprove,verb,show sth to be wrong or false
disputable,,
disputant,,
disputatious,,
disqualify,verb,prevent sb from doing sth because they have broken a rule
disquisition,,
disrepute,noun,state of having lost the good opinion of people
disruption,,
dissatisfied,adjective,not happy or satisfied with sth
dissatisfy,,
dissection,,
dissemination,,
dissenter,,
disservice,noun,do sth that harms sb
dissimulate,,
dissociate,verb,say that you do not support sb/sth
,verb,separate two people or things in your mind
distaste,noun,dislike
distasteful,,
distil,verb,"change a liquid to gas by heating it, and then cool the gas and collect drops of liquid"
,verb,"make whisky, etc in this way"
,verb,"get the essential meaning from thoughts, information, etc"
distinctly,,
distinguishable,,
distrait,,
distressful,adjective,"The definition of distressful is something that causes pain, unhappiness, anxiety or fear."
distressing,,
distributed,,
distributive,,
disturbed,,
disturbing,,
disunite,,
disuse,noun,state of not being used
diver,,
dj.,,
dna,abbreviation,"DNA, which stands for deoxyribonucleic acid, is defined as a nucleic acid that contains the genetic code.Facts About DNAIt is a long polymer that is composed of repeating nucleotides.The largest DNA polymer that is known is about two hundred and twenty million base pairs long.In 1869, the physician Friedrich Miescher first isolated DNA. While examining the substance of pus in surgical bandages, he observed a microscopic substance in the pus. He named it nuclein because he observed it in the nuclei of cells.In 1928, Frederick Griffith realized that DNA might actually hold genetic information. In 1952, Alfred Hershey and Martha Chase performed an experiment which confirmed that DNA had a role in heredity.In 1953, James D. Watson and Francis Crick proposed the idea that the DNA’s structure was a double-helix.It was not until scientists used x-ray technology that they were to finally able to see the structure of a DNA molecule. In 1953 Rosalind Franklin was the first to take the most accurate picture, which became known as photograph 51, that truly defined the structure of the double helix shape of DNA.In 1962, the Nobel Peace Prize was given to James Watson, Francis Crick, and Maurice Wilkins (an associate of Franklin who had died by 1962.)."
do,verb,Do is defined as to accomplish an action.
dockyard,,
doctoral,,
doctorate,,
doctrinaire,adjective,strictly applying a theory without thinking about practical problems
doddering,,
doff,,
dogmatism,,
dollar,noun,"unit of money in the USA, Canada, Australia, etc"
,noun,banknote or coin worth one dollar
dollop,noun,"soft shapeless mass of sth, esp food"
domesticate,,
domesticity,,
domination,,
domineer,,
domino,noun,"small flat piece of wood marked with spots, used for playing games"
,noun,game played with a set of dominoes
don't,,
donate,verb,"give money, clothes, etc to sb, esp a charity"
donut,,
doomed,,
doorstep,,
doorway,,
dorm,,
dormancy,,
dormer,,
dosage,noun,amount of medicine
dotage,noun,be old and not able to think clearly
doubtless,,
doughnut,,
dowager,,
dowdy,adjective,(of a woman) not attractive or fashionable
,adjective,(of a thing) dull or boring
down stairs,,
downcast,adjective,sad; depressed
,adjective,(of eyes) looking down
downfall,noun,fall from power or success; cause of such a fall
downgrade,verb,move sb/sth down to a lower rank or level
,verb,make sth/sb seem less important or valuable
downhearted,adjective,sad; depressed
downhill,adverb,towards the bottom of a hill
,adverb,"get worse in quality, health, etc"
,adjective,going down a slope
downing street,,
downplay,,
downright,adjective,(of sth bad) complete
,adverb,thoroughly
downside,noun,The downside is defined as the negative aspects or the disadvantages of something.
downstairs,adjective,to or on a lower floor
downtown,adjective,"to or in the centre of a city, esp its main business area"
downward,adjective,moving or pointing towards a lower level
downwards,,
doze,verb,sleep lightly for a short time
,noun,light sleep
,adjective,sleepy
,adjective,stupid; not intelligent
dozen,det,set of twelve of the same thing
,det,group of approximately twelve people or things
,det,a lot of people or things
Dr,abbreviation,Doctor
,abbreviation,(in street names) Drive
drainage,,
dramatically,adverb,Dramatically is defined as something done with great flare or done in an overly exaggerated or theatrical manner.
dramatist,,
dramatize,,
drank,,
drapery,,
draughtsman,,
draughty,,
drawbridge,,
drawn,adjective,The definition of drawn is looking very tired or sick.
,verb,Drawn is defined as to have created and illustrated.
dreamer,,
dreamt,,
dreamy,,
dresser,noun,"piece of kitchen furniture with shelves for dishes, and cupboards below"
dressing,noun,"sauce of oil, vinegar, etc put on salads"
,noun,bandage for protecting a wound
,noun,long loose piece of clothing worn indoors over your night clothes
,noun,"table with drawers and a mirror, in a bedroom"
dressy,,
drew,,
dribble,verb,let saliva or another liquid come out of your mouth
,verb,(cause a liquid to) fall in small drops or a thin stream
,verb,"(in football, etc) move the ball along with many short kicks"
dried,,
dried-up,,
drier,,
driftwood,,
drily,,
dripping,,
driven,adjective,"The definition of driven is a goal-oriented person, something that's been moved and piled by the wind, or something caused or operated."
,verb,"Driven is the past form of drive, which is defined as to move something using force."
driver,,
droplet,,
dropping,,
dross,noun,Dross is defined as worthless waste matter.
drowse,,
druggist,,
drugstore,,
drummer,,
drumstick,,
drunkard,,
drunken,,
dryer,,
dualism,,
duality,,
duchy,noun,land owned by a duke or duchess
duckling,noun,young duck
duet,noun,piece of music for two players or singers
duff,,
dug,verb,Dug is defined as uncovered or removed.
dumpling,noun,"ball of cooked dough, eaten with meat"
dumpy,adjective,short and fat
dunce,noun,"person, esp at school, who is slow to learn"
dune,noun,small hill of sand formed by the wind
dung,noun,solid waste matter from animals
duo,noun,pair of performers
duplication,,
durability,,
during,preposition,During is defined as at the same time or through the entire time.
duster,,
dustman,,
dustpan,,
dusty,,
Dutch,adjective,of the Netherlands
,adjective,share the cost of sth
dutiful,,
DVD,noun,"The definition of a DVD, which stands for digital video disc, is an optical disc that can store large quantities of digital material such as sound, images and data."
dweller,,
dying,verb,"Dying is defined as waning or about to disappear, or just about to pass away.Facts About DyingWhen someone is near death their mind and physical body begins to start shutting down each system. The changes in each bodily system are very gradual and can build up over time.The person may not wake easily.The body begins to process food at a slower rate, so constipation is a very common side effect of the process – as is losing control of bowel movements and urination.The body begins to slow down the circulation of blood throughout the body, which means that the hands and feet of the person get very cold and numb.The breathing cycle might also change, with longer periods of time between breathes and more shallow breathing.The person might become disoriented really easily, losing their way, becoming dizzy, and getting confused.A person may become moody or withdrawn.Hearing is one of the last senses to be lost and may be present until the end of the person’s life."
dynamical,,
dynamo,noun,"machine that uses the movement of sth, eg water, to produce electricity"
e.g.,,
earache,,
eardrum,,
eared,,
earl,noun,nobleman of high rank
earlier,,
earliest,,
early,adjective,"The definition of early is near the beginning, or belonging to a previous time."
,adverb,"Early is defined as before the expected time, or soon after the start."
earnings,,
earphone,,
earplug,,
earthbound,,
earthen,,
earthenware,adjective,"(bowls, etc) made of very hard baked clay"
earthly,,
earthwork,,
earthworm,,
earthy,,
east,noun,direction you look towards to see the sun rise; one of the four main points of a compass
,noun,"eastern part of a country, region or city"
,noun,"countries of Asia, esp China, Japan and India"
,adverb,in or towards the east
,adverb,(of winds) blowing from the east
,adjective,travelling towards the east
,adjective,in or towards the east
,adjective,(of winds) blowing from the east
,adjective,situated in the east or facing east
,adjective,towards the east
Easter,noun,"Easter is defined as the Sunday each year that celebrates the resurrection of Jesus with special church services and meals as well as a more secular celebration with Easter baskets filled with candy, delivered by an Easter bunny."
eastern,,
eastward,,
eastwards,,
easy,adjective,"The definition of easy is something that can be done with ease, is not hurried, is not difficult, is free from anxiety or is comfortable."
easy-going,,
eat,verb,"To eat is defined as to put food in the mouth, chew and swallow or to use up."
ecclesiastic,,
echolocation,,
eclecticism,,
ecologist,,
economically,,
economise,,
economist,,
ecu,,
eczema,,
ed.,,
edentate,,
edged,,
editorialize,,
educated,,
educationist,,
eel,noun,long fish like a snake
effectively,,
effectual,adjective,"The definition of effectual is someone or something that is doing what it was intended to do, or has legal force."
effluvium,,
effortless,,
egg,noun,The definition of an egg is the female reproductive cell in many animals or the thin-shelled oval body laid by hens and other animals.
eggplant,,
eggshell,,
egoism,noun,self-centredness; selfishness
egoist,,
egotism,,
Egypt,noun,Egypt is defined as a country in northeastern Africa.
Egyptian,adjective,Egyptian is defined as something related to the culture and people of Egypt.
eh,,
eighteen,number,18
eighteenth,,
eighth,,
eightieth,,
eighty,number,80
,noun,"numbers, years or temperatures from 80 to 89"
either,adjective,The definition of either is one or the other.
,pronoun,Either is defined as one or the other.
ejaculate,,
ejaculation,,
ejection,,
elaboration,,
elastic,noun,material made with rubber that can stretch and then return to its original size
,adjective,made with elastic
,adjective,able to stretch and then return to its original size
,adjective,not fixed
eldest,noun,(of three or more people) oldest (person)
electioneering,,
elective,,
elector,,
electorate,,
electrician,noun,person whose job is to fit and repair electrical equipment
electrify,verb,通常用被动语态/
,verb,provide sth with electricity
,verb,make sb excited
electrocute,verb,injure or kill sb using an electric current
electrode,noun,"point by which an electric current enters or leaves a battery, etc"
electrolysis,,
electromagnet,,
electromagnetic,adjective,having both electrical and magnetic characteristics
electronically,,
electroplate,,
electroscope,,
electrostatic,,
elemental,,
eleven,number,11
eleventh,,
elf,noun,(in stories) creature with pointed ears and magic powers
eligibility,,
elm,noun,tall tree with broad leaves
,noun,hard wood of the elm tree
elsewhere,,
Elysian,,
email,noun,way of sending electronic messages or data from one computer to another
,noun,message(s) sent by email
,verb,send a message to sb by email
embarrassed,,
embassy,noun,office of an ambassador and his/her staff
embattled,,
embellishment,noun,"Embellish is defined as fancy details added on to make something look better or nicer, the act of adding such details or the act of stretching the truth of a story to make it sound more exciting."
embezzlement,,
embryonic,,
emend,,
emendation,,
emerald,noun,bright green precious stone
,adjective,bright green in colour
emergence,,
emetic,,
emigrant,,
emigration,noun,Emigration is defined as the act of leaving one's country to live in another.
eminently,,
emir,noun,Muslim ruler
emperor,noun,ruler of an empire
empiricism,,
empowerment,,
emptiness,,
emulation,noun,Emulation is defined as the act of trying to match or equal someone.
enamored,,
encampment,,
encircle,verb,surround sb/sth completely
encouraging,adjective,The definition of encouraging is something that gives hope.
encroachment,,
encrust,,
encyclopaedia,,
end,noun,"The definition of an end is the last part, or limit of something."
endangered,,
endearment,noun,"Endearment is defined as affection, or to words used to express affection."
endeavour,noun,"Endeavour is defined as an alternate spelling of endeavor, which is defined as something you try or attempt with a lot of effort."
endogamy,,
endue,,
endurable,,
endwise,,
energize,,
enfeeble,,
enflame,,
enfold,verb,hold sb in your arms
enforcement,,
engaging,adjective,The definition of engaging is something interesting or fascinating.
England,,
English,adjective,The definition of English is someone or something that is from England.
,adjective,English means the language of the United States and England.
,noun,English is defined as the language spoken by people of England and the United States.
Englishman,,
engrave,verb,cut words or designs on a hard surface
,verb,be sth that you will never forget because it affected you so strongly
engraving,,
enlarge,verb,become or make sth bigger
,verb,say or write more about sth
enlargement,,
enliven,,
enmesh,,
ennoble,,
enormously,,
enough,adjective,The definition of enough is something that is just what you need and nothing more.
,adverb,Enough is defined as having done something adequately or sufficiently.
,noun,Enough means as many as you need or are allowed.
enrage,verb,make sb very angry
enrapture,,
enrol,verb,become or make sb a member of a college or course
enrollment,,
enrolment,,
enshrine,,
ensign,noun,ship's flag
,noun,junior officer in the US navy
enslave,,
enslavement,,
entanglement,,
entertainer,,
entertaining,,
enthral,verb,capture sb's complete attention
enthrone,,
entirely,,
entrant,noun,"person who enters a competition, profession, etc"
entrenched,adjective,"(of ideas, etc) firmly fixed"
entrepot,,
entwine,,
environ,,
environmentalism,,
epaulet,,
episodic,,
epitomise,,
equable,adjective,moderate; not changing much
equalize,,
equalizer,,
equally,,
equatorial,,
equiangular,,
equidistant,,
equilateral,,
equine,,
equipoise,,
equivalence,,
eradication,,
erase,verb,remove sth completely
eraser,,
erasure,,
erosive,,
escalation,,
