word,pos,definition
,verb,(of an army) stop fighting
disentangle,verb,free sb/sth from sth complicated or confused
,verb,"make string, etc free of knots"
disfigure,verb,spoil the appearance of sb/sth
disgorge,verb,(cause sth to) flow or pour out of sth
disgrace,noun,loss of other people's respect because of sb's bad behaviour
,noun,person or thing that is so bad that it causes shame to others
,verb,behave badly in a way that makes you or other people feel ashamed
,adjective,very bad; that people should feel ashamed about
disgruntled,adjective,annoyed and dissatisfied
disguise,verb,change your appearance so that people cannot recognize you
,verb,"hide sth or change it, so that it cannot be recognized"
,noun,thing you wear in order to disguise yourself
,noun,art of changing your appearance
disgust,noun,strong dislike or disapproval of sb/sth
,verb,make sb feel shocked and almost ill
,adjective,feeling disgust
,adjective,causing disgust
dish,noun,flat shallow container for serving food
,noun,particular kind of food in a meal
,noun,"plates, bowls, cups, etc used for a meal"
,verb,give away a lot of sth
,verb,serve food onto plates
,noun,cloth for washing dishes
,noun,"machine that washes plates, bowls, etc"
dishearten,verb,make sb lose hope or confidence
dishevelled,adjective,(of clothes or hair) very untidy
dishonest,adjective,not honest; intending to deceive people
dishonour,noun,loss of respect because you have done sth immoral or unacceptable
,verb,make sb/sth lose people's respect
,verb,refuse to keep an agreement or promise
,adjective,immoral or unacceptable
disillusion,verb,destroy sb's belief in or good opinion of sb/sth
disinclined,adjective,not willing
disinfect,verb,clean sth with a substance that kills bacteria
disinformation,noun,"false information, esp from a government"
disinherit,verb,prevent sb from inheriting your property
disintegrate,verb,break into small pieces
disinterested,adjective,not influenced by personal interests
disjointed,adjective,not communicated in a logical way; not connected
disk,noun,"device for storing information on a computer, with a magnetic surface that records information received in electronic form"
,noun,device in a computer that transfers information to and from a disk
dislike,verb,not like sb/sth
,noun,feeling of not liking sb/sth
,noun,something that you dislike
dislocate,verb,put a bone out of its usual position
,verb,"stop a system, plan, etc from working"
dislodge,verb,force or knock sth out of its position
disloyal,adjective,not loyal
dismal,adjective,sad; miserable
dismantle,verb,take sth to pieces
dismay,noun,"worried, sad feeling after you have received an unpleasant surprise"
,verb,shock and disappoint sb
dismember,verb,cut or tear the arms and legs off a dead body
,verb,"divide a country, etc into smaller parts"
dismiss,verb,decide that sb/sth is not important and not worth thinking about
,verb,put thoughts and feelings out of your mind
,verb,officially remove sb from their job
,verb,send sb away or allow them to leave
,verb,end a court case
disobedient,adjective,failing or refusing to obey
disobey,verb,"refuse to do what a person, law, etc tells you to do"
disorder,noun,lack of order; confusion
,noun,violent behaviour of large groups of people
,noun,illness of the mind or body
,verb,put into disorder
disorganized,adjective,badly planned; not able to organize well
disorientate,verb,cause sb to lose all sense of direction; confuse sb
disown,verb,say that you no longer want to be connected with sb/sth
disparaging,adjective,suggesting that sb/sth is not important; scornful
disparate,adjective,made up of parts or people that are very different from each other
,adjective,(of two things) so different that they cannot be compared
dispassionate,adjective,not influenced by emotion; fair
dispatch,verb,send sb/sth somewhere
,verb,finish sth quickly
,noun,act of dispatching sb/sth
,noun,message or report that is sent
dispel,verb,cause sth to disappear
dispense,verb,give sth out to people; provide sth
,verb,"prepare medicine and give it to people, as a job"
,verb,get rid of sb/sth that is not necessary
disperse,verb,(cause sth to) move away and spread out
dispirited,adjective,without enthusiasm; discouraged
displace,verb,take the place of sb/sth
,verb,move sth from its usual position
display,verb,show sth; exhibit sth
,noun,act of being displayed; something displayed
,noun,"words, pictures, etc shown on a computer screen"
displease,verb,annoy sb
dispose,verb,get rid of sb/sth unwanted
dispossess,verb,"take sb's property, etc away from them"
disproportionate,adjective,too large or too small
disprove,verb,show sth to be wrong or false
dispute,noun,disagreement or argument
,verb,question whether sth is true and valid
,verb,"argue with sb, esp about who owns sth"
disqualify,verb,prevent sb from doing sth because they have broken a rule
disquiet,noun,worry or anxiety
,verb,make anxious
disregard,verb,not consider sth; treat sth as unimportant
,noun,lack of attention or care
disrepair,noun,state of needing repair
disrepute,noun,state of having lost the good opinion of people
disrespect,noun,lack of respect for sb/sth
disrupt,verb,cause disorder in sth
dissatisfied,adjective,not happy or satisfied with sth
dissect,verb,cut up a dead body to examine it
disseminate,verb,"spread information, etc widely"
dissension,noun,disagreement
dissent,noun,fact of having opinions that differ from those that are officially accepted
,verb,disagree with an opinion
,noun,person who dissents
dissertation,noun,long piece of writing
disservice,noun,do sth that harms sb
dissident,noun,person who disagrees with official government views
dissimilar,adjective,not the same
dissipated,adjective,"enjoying activities that are harmful, eg drinking too much"
dissociate,verb,say that you do not support sb/sth
,verb,separate two people or things in your mind
dissolve,verb,(of a solid) become liquid
,verb,make a solid become liquid
,verb,bring an end to sth
,verb,suddenly start crying/laughing
dissuade,verb,advise sb not to do sth
distance,noun,amount of space between two points or places
,noun,being far away in space or time
,noun,distant place or point
,noun,"continue to run, fight, etc until the end of the contest"
,verb,become less involved or connected with sb/sth
,noun,system of education in which people study at home with the help of special Internet sites and television and radio programmes
distant,adjective,far away
,adjective,(of people) not closely related
,adjective,unfriendly
distaste,noun,dislike
distil,verb,"change a liquid to gas by heating it, and then cool the gas and collect drops of liquid"
,verb,"make whisky, etc in this way"
,verb,"get the essential meaning from thoughts, information, etc"
distinct,adjective,clearly different; separate
,adjective,easily heard or seen
distinction,noun,clear difference between two people or things
,noun,excellence
,noun,separation of people or things into different groups
,noun,mark of honour or high achievement
distinctive,adjective,marking sth as clearly different
distinguish,verb,recognize the difference between two people or things
,verb,be a characteristic that makes two people or things different
,verb,be able to see or hear sth
,verb,do sth very well
distort,verb,pull or twist sth out of its usual shape
,verb,give a false account of sth
distract,verb,take sb's attention away from sth
distraught,adjective,very upset and worried
distress,noun,"great worry, suffering or unhappiness"
,noun,state of danger
,verb,make sb feel very worried or unhappy
,adjective,making you feel upset
distribute,verb,give sth out
,verb,send goods to shops and businesses to be sold
,verb,spread sth over an area
district,noun,part of a town or country
distrust,verb,have no trust in sb
,noun,lack of trust; suspicion
disturb,verb,"interrupt sb when they are trying to work, etc"
,verb,move sth or change its position
,verb,worry sb
disunity,noun,lack of agreement between people
disuse,noun,state of not being used
ditch,noun,long channel dug at the side of a road to hold or take away water
,verb,get rid of sb/sth unwanted
dither,verb,be unable to decide what to do
ditto,noun,(used in lists to avoid repeating a word)
ditty,noun,short simple song
divan,noun,long low seat without a back
dive,verb,go head first into water
,verb,go under water
,verb,(of an aircraft) go steeply downwards
,verb,move quickly in the direction that is mentioned
,verb,put your hand quickly into sth such as a bag or pocket
,noun,act of diving into water
,noun,"bar, club, etc that is cheap, and perhaps dark or dirty"
,noun,"person who dives, esp one who works under water"
,noun,board from which people dive into a swimming pool
diverge,verb,separate; differ
diverse,adjective,of different kinds
diversify,verb,"(esp of a business) develop a wider range of products, interests, etc"
diversion,noun,act of changing direction
,noun,something that draws attention away from sth that you do not want to be noticed
,noun,different route for traffic
divert,verb,"turn sth from one direction, use, etc to another"
,verb,take sb's attention away from sth
divide,verb,separate; break sth into parts
,verb,cause people to disagree
,verb,find out how many times one number is contained in another
,noun,something that divides sb/sth
,noun,"instrument for measuring lines, angles, etc"
dividend,noun,part of the profits paid to people who have shares in a company
divine,adjective,of or like God or a god
,adjective,wonderful
,verb,discover sth by guessing
divisible,adjective,that can be divided
division,noun,process or result of dividing or being divided
,noun,process of dividing numbers
,noun,disagreement
,noun,big part of an organization
,noun,group of sports teams
,noun,(in British Parliament) vote
divisive,adjective,causing disagreement
divorce,noun,legal ending of a marriage
,noun,ending of a relationship between two things
,verb,end your marriage to sb by law
,verb,separate sth from sth else
,noun,divorced person
divulge,verb,give sb secret information
DIY,noun,"abbreviation for do it yourself; activity of doing house repairs, decorating rooms, etc yourself"
dizzy,adjective,(of a person) feeling as if everything is turning round and round; unable to balance
,adjective,of or causing this feeling
DNA,noun,deoxyribonucleic acid; chemical in the cells of animals and plants that carries genetic information and is a type of nucleic acid
do,verb,"perform an action, activity or job"
,verb,progress or develop; improve
,verb,produce or make sth
,verb,provide a service
,verb,study sth or find the answer to sth
,verb,travel a certain distance or at a certain speed
,verb,have a particular effect
,verb,be enough or suitable
,verb,be connected with sb/sth
,verb,used when meeting sb for the first time
,verb,what is your job?
,verb,kill yourself/sb
,verb,get rid of sth; abolish sth
,verb,criticize sb/sth unfairly
,verb,do housework for sb
,verb,通常用被动语态/
,verb,ruin or kill sb/sth
,verb,manage to get sth
,verb,kill sb/yourself
,verb,make sb very tired
,verb,injure a part of the body
,verb,"make (a room, cupboard, etc) clean and tidy"
,verb,"stop sb having sth, esp by cheating"
,verb,attack and beat sb severely
,verb,be fastened
,verb,"fasten a coat, skirt, etc"
,verb,"repair and decorate an old house, etc"
,verb,(used in negative sentences and questions with
,verb,manage without sb/sth
,noun,person who tries too hard to help other people
do,auxv,used before a full verb to form negative sentences and questions
,auxv,used at the end of a sentence to form a question tag
,auxv,used to avoid repeating a full verb
,auxv,used for emphasizing that a verb is positive
do,noun,party
,noun,rules that you should follow
docile,adjective,quiet and easy to control
dock,noun,"part of a port where ships are loaded and unloaded, or repaired"
,noun,part of a law court where the prisoner stands
,verb,(of a ship) come or be brought into a dock
,verb,(of two spacecraft) join or be joined together in space
,verb,"take away part of sb's wages, etc"
,verb,cut an animal's tail short
,noun,person who loads and unloads ships
,noun,district near docks
,noun,place where ships are built or repaired
docket,noun,"document or label showing what is in a package, which goods have been delivered, etc"
doctor,noun,person who has been trained in medicine
,noun,person who has received the highest university degree
,verb,change sth in order to deceive people
,verb,remove part of the sex organs of an animal
,noun,highest university degree
doctrinaire,adjective,strictly applying a theory without thinking about practical problems
doctrine,noun,set of teachings; belief(s)
document,noun,"official paper giving information, evidence, etc"
,noun,computer file that contains text and has a name that identifies it
,verb,record the details of sth; prove or support sth with documents
,noun,documents used as evidence or proof
documentary,noun,"film, radio or television programme that gives information and facts"
,adjective,of documents
docusoap,noun,"television programme about the lives of real people, presented as entertainment"
dodge,verb,move suddenly to one side in order to avoid sb/sth
,verb,avoid sth by dishonesty
,noun,sudden movement to avoid sb/sth
,noun,clever trick
,noun,person who dishonestly avoids doing sth
,adjective,dishonest; risky
doe,noun,"adult female deer, reindeer, rabbit or hare"
dog,noun,"common animal kept by people for hunting, guarding, etc or as a pet"
,noun,"male dog, fox or wolf"
,noun,greyhound racing
,noun,"situation in business, politics, etc where people are willing to harm each other in order to succeed"
,noun,person who stops others enjoying sth even though he/she does not need or want it
,noun,an unhappy life
,noun,get into a very bad state
,noun,collar for a dog
,noun,stiff white collar worn by a clergyman
,adjective,(of a book) used so much that the corners of many pages are turned down
,noun,be in disgrace because of sth bad you have done
,adjective,very tired
dog,verb,(of a problem or bad luck) cause you trouble for a long time
,verb,follow sb/sth closely
dogged,adjective,not giving up easily; determined
dogma,noun,(esp religious) belief(s) to be accepted without questioning
dogsbody,noun,person who does boring and unpleasant jobs for others
doldrums,noun,state of feeling sad or depressed
,noun,lack of activity or improvement
dole,noun,money paid regularly by the government to people without jobs
,verb,"give out an amount of food, money, etc to a group of people"
doleful,adjective,sad; unhappy
doll,noun,"child's toy in the shape of a person, esp a baby or a child"
,verb,"make yourself look attractive for a party, etc"
dollar,noun,"unit of money in the USA, Canada, Australia, etc"
,noun,banknote or coin worth one dollar
dollop,noun,"soft shapeless mass of sth, esp food"
dolphin,noun,intelligent animal that looks like a large fish and lives in the sea
domain,noun,area of activity or knowledge
,noun,set of Internet addresses that end with the same group of letters
,noun,area under sb's control
,noun,name which identifies a website or group of websites
dome,noun,round roof with a circular base
domestic,adjective,"of the home, house or family"
,adjective,within a particular country; not foreign
,adjective,(of animals) not wild; kept in a house or on a farm
,noun,person who is paid to do housework
dominant,adjective,most important or powerful
dominate,verb,"have control or power over sb/sth, esp in an unpleasant way"
,verb,be the most important feature of sth
,verb,be most noticeable thing in a place
domineering,adjective,trying to control other people in an unpleasant way
dominion,noun,authority to rule; control
,noun,land controlled by a ruler
domino,noun,"small flat piece of wood marked with spots, used for playing games"
,noun,game played with a set of dominoes
don,noun,teacher at a university
donate,verb,"give money, clothes, etc to sb, esp a charity"
done,adjective,finished
,adjective,(of food) cooked enough
,adjective,socially correct
donkey,noun,"animal like a small horse, but with longer ears"
,noun,a very long time
donor,noun,person who gives sth to charity
,noun,person who gives blood or part of his/her body to help sick people
doodle,verb,do small drawings while you are thinking about sth else
doom,noun,death or destruction; any terrible event that you cannot avoid
,noun,the end of the world
door,noun,"piece of wood, etc used for closing the entrance to a building, room, etc"
,noun,"work at the entrance to a theatre, club, etc, eg collecting tickets"
,noun,from building to building
,noun,"to/in the next building, room, etc"
,noun,in the open air
,noun,bell that is rung by visitors to a house
,noun,step in front of a door
,noun,opening for a door
dope,noun,harmful drug
,noun,stupid person
,verb,give a drug to a person or an animal
,adjective,stupid
,adjective,"sleepy, as if drugged"
dormant,adjective,not active
dormitory,noun,large bedroom where several people sleep
dormouse,noun,small animal like a mouse
dosage,noun,amount of medicine
dose,noun,amount of medicine to be taken at one time
,noun,experience of sth unpleasant
,verb,give sb/yourself a medicine
doss,verb,"sleep somewhere, esp somewhere uncomfortable or not in a proper bed"
,noun,cheap place to stay for homeless people
dossier,noun,set of papers containing information about a person or event
dot,noun,"small round mark, esp one that is printed"
,noun,"symbol like a full stop used to separate parts of a domain name, a URL or an email address"
,noun,at the exact time mentioned
,verb,put a dot above or next to a letter or word
,verb,通常用被动语态/
,verb,spread things or people all over an area
,noun,company that sells goods and services on the Internet
dotage,noun,be old and not able to think clearly
dote,verb,"show too much love for sb, ignoring their faults"
double,adjective,"twice as much, big, good, etc"
,adjective,having two parts or uses
,adjective,made for two people
,noun,"largest instrument of the violin family, that plays very low notes"
,noun,fold of fat below the chin
,noun,deceitful behaviour
,noun,bus with two floors
,noun,speech or writing that is impossible to understand
double,det,twice as much or as many as
,adverb,in twos or in two parts
,adjective,(of a gun) having two barrels
,verb,"promise the same ticket, hotel room, etc to two different people at the same time"
,adjective,(of a coat) made to cross over at the front with two rows of buttons
,verb,check sth for a second time or with great care
,verb,"choose a particular function or item on a computer screen, etc, by pressing one of the mouse buttons twice quickly"
,verb,cheat or deceive sb who trusts you
,adjective,(of a comment) having two possible meanings
,noun,"windows that have two layers of glass, designed to reduce noise, heat loss, etc"
,adjective,"having joints in your fingers, arms, etc that can bend backwards as well as forwards"
,adverb,very quickly
double,noun,twice the quantity
,noun,person who looks exactly like another
,noun,game with two players on each side
,noun,quickly
double,verb,become or make sth become twice as much or as many
,verb,bend or fold sth to make two layers
,verb,have a second use or function
,verb,turn back in the opposite direction
,verb,(cause sb to) bend the body over quickly
doubly,adverb,用于形容词前/
,adverb,more than usual
doubt,noun,feeling of uncertainty or not believing sth
,noun,be uncertain
,noun,very probably
,noun,certainly
,verb,feel uncertain about sb/sth; not believe sb/sth
,adjective,uncertain
,adjective,unlikely
,adverb,"almost certainly, probably"
dough,noun,"mixture of flour, water, etc for making bread"
,noun,small round cake made of fried dough
douse,verb,put out a fire by pouring water over it; put out a light
,verb,pour a lot of liquid over sb/sth
dove,noun,kind of pigeon. The white dove is a symbol of peace.
,noun,person in favour of peace
,noun,small building for doves to live in
dovetail,verb,fit together well
,noun,joint for fixing two pieces of wood together
dowdy,adjective,(of a woman) not attractive or fashionable
,adjective,(of a thing) dull or boring
down,preposition,to or at a lower level or place; from the top towards the bottom of sth
,preposition,(of flat places) along
,preposition,to a sitting or horizontal position
,preposition,to or in the south
,preposition,"used to show a reduction in level, amount, strength, etc"
,preposition,(written) on paper
,preposition,be the responsibility of sb
,preposition,have or catch an illness
,preposition,in Australia
,preposition,used to say you are opposed to sb/sth
,noun,"person with no job, money or home"
,adjective,(of a person) practical; sensible
down,adjective,sad
,adjective,lower than before
,adjective,(of a computer or computer system) not working
,noun,"part of the total cost of sth paid at the time of buying, with the rest to be paid later"
down,verb,finish a drink quickly
,verb,force sb/sth to the ground
down,noun,very soft feathers or hair
downcast,adjective,sad; depressed
,adjective,(of eyes) looking down
downfall,noun,fall from power or success; cause of such a fall
downgrade,verb,move sb/sth down to a lower rank or level
,verb,make sth/sb seem less important or valuable
downhearted,adjective,sad; depressed
downhill,adverb,towards the bottom of a hill
,adverb,"get worse in quality, health, etc"
,adjective,going down a slope
Downing Street,noun,"way of referring to the British Prime Minister and government, taken from the name of the street where the Prime Minister lives"
download,verb,copy a file or files from one computer to another
,noun,act of copying data from one computer to another
,noun,computer file that is copied in this way
downpour,noun,heavy fall of rain
downright,adjective,(of sth bad) complete
,adverb,thoroughly
downs,noun,area of low hills
Down's syndrome,noun,"medical condition in which a person is born with a wide flat face, sloping eyes and a mental ability below average"
downstairs,adjective,to or on a lower floor
downstream,adverb,in the direction in which a river flows
downtown,adjective,"to or in the centre of a city, esp its main business area"
downtrodden,adjective,treated badly
downward,adjective,moving or pointing towards a lower level
dowry,noun,property or money that a bride's father gives to her husband
doz.,abbreviation,dozen
doze,verb,sleep lightly for a short time
,noun,light sleep
,adjective,sleepy
,adjective,stupid; not intelligent
dozen,det,set of twelve of the same thing
,det,group of approximately twelve people or things
,det,a lot of people or things
Dr,abbreviation,Doctor
,abbreviation,(in street names) Drive
drab,adjective,without interest or colour; dull
draft,noun,rough written plan of sth
,noun,written order for payment of money by a bank
,verb,write the first rough version of sth
,verb,send people somewhere for a special task
,noun,person who writes official or legal documents
drag,verb,pull sb/sth along with effort and difficulty
,verb,move yourself slowly and with effort
,verb,force sb to go somewhere
,verb,(of time) pass slowly
,verb,"search the bottom of a river, lake, etc with nets, etc"
,verb,"move some text, an icon, etc across a computer screen using the mouse"
,verb,deliberately do sth slowly
,verb,go on for too long
,verb,"cause a meeting, etc to last longer than necessary"
,verb,force sb to say sth they do not want to say
,verb,mention an unpleasant or embarrassing event
,noun,boring thing or person
,noun,person or thing that makes progress difficult
,noun,"act of breathing in smoke from a cigarette, etc"
,noun,women's clothes worn by a man
dragon,noun,"(in stories) large animal with wings and claws, able to breathe out fire"
,noun,fierce unpleasant old woman
drain,noun,pipe or channel for carrying away water or sewage
,noun,"thing that uses a lot of money, time, etc that could be used for sth else"
,noun,(be) wasted; (get) very much worse
,verb,become or make sth dry and empty by removing all the liquid from it
,verb,(cause liquid to) flow away
,verb,empty a glass or cup by drinking everything in it
,verb,make sb/sth weaker or poorer
,noun,"process by which water, etc is drained from an area"
,noun,system of drains
,noun,"surface next to a sink, on which dishes, etc drain"
,noun,pipe for carrying water from the roof of a building to the ground
drake,noun,male duck
drama,noun,"play for the theatre, radio or television"
,noun,plays in general
,noun,series of exciting events
drape,verb,"hang clothes, fabric, etc loosely on sb/sth"
,verb,cover or decorate sb/sth with material
,verb,allow part of your body to rest loosely on sth
,noun,long thick curtain
,noun,"cloth, etc hanging in loose folds"
drastic,adjective,extreme; very significant
draught,noun,current of cool air in a room
,noun,amount of liquid swallowed at one time
,noun,game for two players using 24 round pieces on a board
,noun,(of beer) taken from a barrel
,adjective,served from a barrel rather than a bottle
,adjective,used for pulling heavy loads
,noun,"person whose job is to draw detailed plans of machinery, buildings, etc"
,noun,person who is skilled at drawing
,adjective,with currents of cold air blowing through
draw,verb,"make a picture with a pen, pencil, etc"
,verb,move sb/sth by pulling it/them
,verb,move in the direction mentioned
,verb,take or pull sth out of sth
,verb,attract or interest sb
,verb,"make or obtain sth by study, reasoning, etc"
,verb,"decide sth by picking cards, tickets, numbers, etc by chance"
,verb,finish a game with neither side winning
,verb,obtain sth from a source
,verb,breathe in smoke or air
,verb,get no response or result
,verb,refuse to do sth
,verb,"not take action, esp because you feel nervous"
,verb,(of the day) become shorter
,verb,"make sb take part in sth, esp when they do not want to"
,verb,(of time) pass
,verb,use a supply of sth
,verb,(of the day) become longer
,verb,encourage sb to talk
,verb,make sth last longer than usual or necessary
,verb,(of a vehicle) arrive and stop
,verb,stand up very straight
,verb,"write out a list, etc"
draw,noun,"act of choosing tickets, etc by chance; lottery or raffle"
,noun,result of a game in which neither side wins
,noun,person or thing that attracts many people
drawback,noun,disadvantage; problem
drawer,noun,"box-like container that slides in and out of a desk, chest, etc"
drawing,noun,picture
,noun,"art or skill of making pictures, plans, etc using a pen or pencil"
,noun,short pin with a flat top
,noun,room in which guests are received
drawl,verb,"speak or say sth slowly, making the vowels longer"
drawn,adjective,(of a person or their face) looking very tired or worried
dread,verb,be very afraid of sth
,noun,great fear and anxiety
,adjective,causing fear
,adjective,very bad; terrible
,adverb,terribly; very
dream,noun,series of images and events that happen in your mind while you are asleep
,noun,"wish to have or be sth, esp one that seems difficult to achieve"
,noun,wonderful person or thing
,verb,have a dream; experience sth in a dream
,verb,imagine sth that you would like to happen
,verb,not consider doing sth; never do sth
,verb,"have an idea, esp a silly one"
,adjective,wonderful
,noun,person with impractical ideas
,noun,person who dreams
,adjective,(of sleep) without dreams
,adjective,like a dream; strange and unreal
,adjective,thinking about other things and not paying attention to what is happening
,adjective,"imaginative, but not realistic"
,adjective,pleasant and peaceful
dreary,adjective,dull or boring; making you feel depressed
dredge,verb,"clear mud, stones, etc from the bottom of a river, etc using a dredger"
,verb,mention sth unpleasant that has been forgotten
dregs,noun,little bits of solid material that sink to the bottom of liquid
,noun,worst and most useless parts of sth
drench,verb,make sb/sth completely wet
dress,noun,piece of woman's clothing made in one piece that covers the body down to the legs
,noun,clothes
,noun,"person who makes women's clothes, esp as a job"
,noun,"final practice of a play, with costumes, lighting, etc"
dress,verb,put clothes on yourself/sb
,verb,wear a particular type or style of clothes
,verb,"clean, treat and cover a wound"
,verb,prepare food for cooking or eating
,verb,decorate or arrange sth
,verb,wearing clothes that will make you noticed and admired
,verb,criticize sb angrily
,verb,put on your best clothes
,verb,put on special clothes for fun
dresser,noun,"piece of kitchen furniture with shelves for dishes, and cupboards below"
dressing,noun,"sauce of oil, vinegar, etc put on salads"
,noun,bandage for protecting a wound
,noun,long loose piece of clothing worn indoors over your night clothes
,noun,"table with drawers and a mirror, in a bedroom"
dribble,verb,let saliva or another liquid come out of your mouth
,verb,(cause a liquid to) fall in small drops or a thin stream
,verb,"(in football, etc) move the ball along with many short kicks"
drift,verb,move along in a current of air or water
,verb,(of people) live or move somewhere without purpose
,noun,slow steady movement from one place to another; a gradual change or development
,noun,mass of snow piled up by the wind
,noun,general meaning
,noun,person who moves from one place or job to another with no real purpose
drill,noun,tool for making holes
,noun,way of learning sth by means of repeated exercises
,noun,practice of what to do in an emergency
,noun,method of training soldiers
,verb,"make a hole in sth, using a drill"
,verb,train or teach sb with drills
drink,verb,take liquid into your mouth and swallow it
,verb,drink alcohol
,verb,wish sb good health as you lift your glass to drink from it
,verb,drink a lot of alcohol regularly
,verb,watch or listen to sth with great interest
,verb,"wish sb/sth happiness, etc as you lift your glass to drink from it"
,noun,liquid for drinking; amount of liquid that you drink
,noun,alcohol or an alcoholic drink; sth that you drink on a social occasion
,noun,person who drinks too much alcohol
drip,verb,(allow liquid to) fall in small drops
,verb,very wet
,noun,series of drops of falling liquid
,noun,"device that puts liquid food, etc directly into a patient's veins"
,noun,dull weak person
,adjective,(of clothes) made of fabric that will dry easily when you hang it up
,noun,fat from roasted meat
drive,noun,operate and control a vehicle
,noun,"take sb somewhere in a car, etc"
,noun,force animals or people to move somewhere
,noun,be the power for a machine
,noun,hit a ball with force
,noun,force sth to go into sth mentioned
,noun,force sb to be in a certain state
,noun,the thing sb is trying to say
,noun,"argue aggressively and force sb to agree on the best possible price, etc"
,adjective,done from a moving car
,noun,"place where you can watch films, eat, etc without leaving your car"
,noun,official document that shows you are qualified to drive
,noun,test that you must pass before you are qualified to drive
drive,noun,journey in a car or other vehicle
,noun,private road leading to a house
,noun,organized effort by a group of people
,noun,strong desire or need
,noun,energy
,noun,"hard stroke in golf, tennis, etc"
drivel,noun,silly nonsense
drizzle,noun,fine light rain
,verb,rain lightly
drone,verb,make a continuous low noise
,verb,talk for a long time in a boring way
,noun,continuous low noise
,noun,male bee
drool,verb,let saliva come out of your mouth
,verb,show in a silly way how much you like sb/sth
droop,verb,hang or bend downwards because of weakness
drop,verb,fall or allow sth to fall
,verb,become or make sth weaker or less
,verb,"stop so that sb can get out of a car, etc; deliver sth"
,verb,leave sb/sth out
,verb,stop doing or discussing sth
,verb,write a short letter to sb
,verb,move slowly and so get behind other people
,verb,visit sb informally
,verb,fall asleep
,verb,become fewer or less
,verb,no longer take part in sth
,verb,"leave college, etc without finishing your course"
,noun,"person who leaves college, etc without finishing their course"
,noun,"person who rejects the ideas, behaviour, etc accepted by the rest of society"
drop,noun,small round mass of liquid
,noun,fall or reduction in sth
,noun,steep or vertical distance
,noun,liquid medicine taken in drops
,noun,small round sweet
,noun,immediately; without hesitating
drought,noun,long period of very dry weather
drove,noun,very large group
drown,verb,die in water because you cannot breathe; kill sb in this way
,verb,(of a sound) be louder than other sounds so that you cannot hear them
,verb,get drunk in order to forget your problems
drowsy,adjective,feeling sleepy
drudge,noun,person who does hard boring work
drug,noun,"illegal substance, eg cocaine or heroin, used for pleasure"
,noun,substance used as a medicine
,verb,"give drugs to a person or an animal, esp to make them unconscious"
,verb,add a drug to sb's food or drink
,noun,"chemist's shop that sells medicines and other types of goods, eg cosmetics"
drum,noun,musical instrument made of skin stretched tightly across a hollow round frame
,noun,large round metal container
,verb,play a drum
,verb,make a sound by hitting a surface again and again
,verb,make sb remember sth by repeating it often
,verb,"try hard to get support, customers, etc"
,noun,person who plays a drum
,noun,stick used for beating a drum
drunk,adjective,excited or confused by alcoholic drink
,noun,person who often gets drunk
,adjective,showing the effects of too much alcohol
,adjective,drunk or often getting drunk
dry,adjective,not wet
,adjective,(of wine) not sweet
,adjective,(of humour) pretending to be serious; ironic
,adjective,boring; dull
,verb,become or make sth dry
,verb,"(cause sth to) become dry, in a way that is not wanted"
,verb,(of a supply) come to an end
,verb,suddenly stop talking because you do not know what to say next
,verb,"dry dishes, etc with a cloth after washing them"
,verb,clean clothes using chemicals instead of water
,noun,"part of a port from which water is removed, so that a ship may be repaired"
,noun,machine that dries sth
,noun,fungus that causes wood to decay and turn to powder
dual,adjective,having two parts; double
,noun,road divided down the centre by a barrier or grass
dub,verb,give sb/sth a particular name
,verb,replace the original speech in a film with words in another language
dubious,adjective,causing or feeling doubt
duchess,noun,wife of a duke
,noun,woman who has the rank of a duke
duchy,noun,land owned by a duke or duchess
duck,noun,common bird that lives on or near water
,noun,female duck
,noun,meat from a duck
,noun,(in cricket) batsman's score of 0
,verb,move your head or body down quickly
,verb,push sb underwater for a short time
,verb,try to avoid a responsibility
duckling,noun,young duck
duct,noun,tube or channel carrying liquids or air
dud,adjective,(something) that is useless
due,adjective,because of sb/sth; caused by sb/sth
,adjective,arranged or expected
,adjective,needing to be paid; owed
,adjective,suitable; right
,adverb,(of points of the compass) exactly
,noun,thing that should be given to sb by right
,noun,"charges, eg for membership of a club"
duel,noun,(in the past) formal fight with weapons between two people
,noun,contest between two people or groups
,verb,fight a duel
duet,noun,piece of music for two players or singers
duffel coat,noun,"coat made of a heavy woollen fabric, usu with a hood"
dugout,noun,"rough shelter for soldiers, made by digging a hole in the ground"
,noun,canoe made by cutting out the inside of a tree trunk
duke,noun,nobleman of the highest rank
dull,adjective,not exciting; boring
,adjective,not bright or shiny
,adjective,"(of pain) not severe, but continuous"
,adjective,slow in understanding
,verb,become or make sb/sth dull
duly,adverb,in the correct manner; at the proper time
dumb,adjective,unable to speak
,adjective,temporarily not speaking
,adjective,stupid
dumbfounded,adjective,unable to speak because of surprise
dummy,noun,"model of a person, used esp for showing clothes in a shop"
,noun,rubber or plastic object for a baby to suck
,noun,practice attempt before the real performance
dump,verb,get rid of sth unwanted
,verb,put sth down carelessly
,verb,"get rid of goods by selling them at a very low price, often abroad"
,verb,copy information and move it somewhere to store it
,noun,place where rubbish may be left
,noun,dirty unattractive place
,noun,store of military supplies
,noun,(act of making a) copy of data stored in a computer
,noun,unhappy
,noun,"vehicle for carrying earth, etc"
dumpling,noun,"ball of cooked dough, eaten with meat"
dumpy,adjective,short and fat
